train/learning_rate,train/n_updates,train/ent_coef,time/time_elapsed,train/critic_loss,train/ent_coef_loss,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/episodes,rollout/ep_len_mean,train/actor_loss
0.0003,250752,1.30088396872452e-05,1304,1.1251580104953973e-05,-3.252432331442833,250864,192,0.02,0.02,840,295.61,-0.02769884339068085
0.0003,254288,1.208187774182079e-05,1323,8.335181945540171e-06,5.710295647382736,254400,192,0.02,0.02,844,295.61,-0.025223700795322657
,,,1323,,,254400,192,0.02,0.02,848,295.61,
0.0003,254304,1.2139145894707326e-05,1323,1.0150071318548726e-05,5.055824004113674,254416,192,0.02,0.02,852,295.61,-0.024354307213798165
0.0003,255552,1.349250015891812e-05,1329,8.238432087637193e-06,1.3256819695234299,255664,192,0.02,0.02,856,295.61,-0.024317637900821865
0.0003,259088,1.3484212217917957e-05,1348,1.4921756502417338e-05,-5.5871249586343765,259200,192,0.02,0.02,860,295.61,-0.02450473455246538
,,,1348,,,259200,192,0.02,0.02,864,295.61,
0.0003,259104,1.3426419286588498e-05,1348,1.2712277680293482e-05,-5.531604841351509,259216,192,0.02,0.02,868,295.61,-0.026488345523830503
0.0003,260352,1.4366500408868887e-05,1354,8.666245065569456e-06,6.644873104989529,260464,192,0.02,0.02,872,295.61,-0.02372967347037047
0.0003,263888,1.3675873958618467e-05,1373,1.1429547441821342e-05,-3.766140438616276,264000,192,0.01,0.01,876,297.79,-0.019126433646306396
,,,1373,,,264000,192,0.01,0.01,880,297.79,
0.0003,263904,1.3633096045850834e-05,1373,1.2574173155144308e-05,-3.2361479103565216,264016,192,0.01,0.01,884,297.79,-0.0236283935373649
0.0003,265152,1.3474759327891661e-05,1380,9.086660014645531e-06,4.8647136464715,265264,192,0.01,0.01,888,297.79,-0.02135486522456631
0.0003,268688,1.139509043923681e-05,1397,1.1405636627159765e-05,-3.817512096837163,268800,192,0.01,0.01,892,297.79,-0.0186551803490147
,,,1397,,,268800,192,0.01,0.01,896,297.79,
