2026-04-01 13:22:54 | Training started | expert_reward_mean=nan
2026-04-01 13:22:54 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-01 13:30:12 | 190 | nan | 2.0635 | 3.5449 | 0.0332 | 3.5117 | 0.0000
2026-04-01 13:30:16 | 191 | nan | 3.3019 | 0.0773 | 0.0348 | 0.0425 | 0.0000
2026-04-01 13:30:19 | 192 | nan | 2.2370 | 0.0621 | 0.0414 | 0.0206 | 0.0000
2026-04-01 13:30:23 | 193 | nan | 1.0636 | 0.0638 | 0.0401 | 0.0238 | 0.0000
2026-04-01 13:30:26 | 194 | nan | 0.5532 | 0.2029 | 0.0498 | 0.1532 | 0.0000
2026-04-01 13:30:29 | 195 | nan | 0.7320 | 0.0822 | 0.0519 | 0.0303 | 0.0000
2026-04-01 13:30:33 | 196 | nan | 2.5497 | 3.6831 | 0.0548 | 3.6283 | 0.0000
2026-04-01 13:30:36 | 197 | nan | 2.5088 | 0.1241 | 0.0681 | 0.0560 | 0.0000
2026-04-01 13:30:39 | 198 | 346.0000 | 2.4969 | 0.0917 | 0.0670 | 0.0247 | 0.0000
2026-04-01 13:30:42 | 199 | nan | 2.0480 | 2.8280 | 0.0885 | 2.7394 | 237.0000
2026-04-01 13:30:46 | 200 | nan | 2.0990 | 0.2037 | 0.0933 | 0.1104 | 252.4286
