2026-04-02 14:50:31 | Training started | num_expert_samples=5000
2026-04-02 14:50:31 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 14:52:36 | Training started | num_expert_samples=5000
2026-04-02 14:52:36 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 14:57:41 | Training started | num_expert_samples=5000
2026-04-02 14:57:41 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 15:31:17 | 5 | -112.8203 | 4.1953 | 1.3195 | 0.6357 | 0.6838 | -111.2007
2026-04-02 15:31:28 | 6 | -111.9068 | 4.1601 | 1.3131 | 0.6332 | 0.6798 | -104.7347
2026-04-02 15:31:40 | 7 | -99.7664 | 4.1572 | 1.3031 | 0.6302 | 0.6728 | -101.6732
2026-04-02 15:31:51 | 8 | -104.6277 | 4.1461 | 1.2938 | 0.6254 | 0.6684 | -95.6183
2026-04-02 15:32:02 | 9 | -97.0433 | 4.1169 | 1.2858 | 0.6225 | 0.6633 | -94.5994
2026-04-02 15:32:14 | 10 | -92.7177 | 4.0867 | 1.2839 | 0.6195 | 0.6644 | -86.2083
2026-04-02 15:32:25 | 11 | -93.5918 | 4.0815 | 1.2696 | 0.6138 | 0.6558 | -84.8761
2026-04-02 15:32:36 | 12 | -86.9942 | 4.0487 | 1.2701 | 0.6110 | 0.6591 | -79.6328
2026-04-02 15:32:47 | 13 | -79.0399 | 4.0326 | 1.2613 | 0.6063 | 0.6551 | -79.8243
2026-04-02 15:32:58 | 14 | -77.8843 | 4.0037 | 1.2533 | 0.6022 | 0.6511 | -73.3965
2026-04-02 15:33:09 | 15 | -71.7016 | 3.9805 | 1.2662 | 0.5983 | 0.6679 | -66.0646
2026-04-02 15:33:21 | 16 | -63.3409 | 3.9631 | 1.2581 | 0.5941 | 0.6640 | -63.4652
2026-04-02 15:33:32 | 17 | -60.8388 | 3.9384 | 1.2537 | 0.5898 | 0.6639 | -56.8507
2026-04-02 15:33:43 | 18 | -64.8964 | 3.9247 | 1.2565 | 0.5866 | 0.6699 | -60.6651
2026-04-02 15:33:54 | 19 | -56.0498 | 3.8984 | 1.2540 | 0.5840 | 0.6700 | -61.2574
2026-04-02 15:34:05 | 20 | -61.2461 | 3.8721 | 1.2624 | 0.5824 | 0.6800 | -57.0672
2026-04-02 15:34:16 | 21 | -55.9805 | 3.8507 | 1.2507 | 0.5828 | 0.6679 | -58.9634
2026-04-02 15:34:27 | 22 | -58.2871 | 3.8282 | 1.2576 | 0.5783 | 0.6793 | -55.6287
2026-04-02 15:34:38 | 23 | -57.6535 | 3.8079 | 1.2685 | 0.5813 | 0.6872 | -54.8133
2026-04-02 15:34:49 | 24 | -57.4130 | 3.7872 | 1.2712 | 0.5808 | 0.6905 | -59.5290
2026-04-02 15:35:00 | 25 | -58.2954 | 3.7646 | 1.2656 | 0.5842 | 0.6813 | -56.1654
2026-04-02 15:35:11 | 26 | -57.2147 | 3.7484 | 1.2762 | 0.5858 | 0.6904 | -60.7101
2026-04-02 15:35:22 | 27 | -64.8974 | 3.7323 | 1.2783 | 0.5874 | 0.6908 | -59.0175
2026-04-02 15:35:33 | 28 | -61.7638 | 3.7045 | 1.2888 | 0.5921 | 0.6967 | -52.5634
2026-04-02 15:35:44 | 29 | -58.0140 | 3.6828 | 1.2891 | 0.5994 | 0.6897 | -60.5981
2026-04-02 15:35:55 | 30 | -61.2040 | 3.6621 | 1.2832 | 0.6042 | 0.6790 | -60.6306
2026-04-02 15:36:06 | 31 | -58.2460 | 3.6463 | 1.2881 | 0.6106 | 0.6775 | -60.2649
2026-04-02 15:36:17 | 32 | -56.6988 | 3.6293 | 1.2977 | 0.6175 | 0.6802 | -59.3273
2026-04-02 15:36:28 | 33 | -66.9087 | 3.6118 | 1.2857 | 0.6200 | 0.6656 | -56.4728
2026-04-02 15:36:39 | 34 | -65.1339 | 3.5973 | 1.2868 | 0.6254 | 0.6614 | -68.5896
2026-04-02 15:36:50 | 35 | -65.2066 | 3.5826 | 1.2851 | 0.6270 | 0.6581 | -63.1550
2026-04-02 15:37:02 | 36 | -61.4792 | 3.5681 | 1.2820 | 0.6262 | 0.6558 | -66.6485
2026-04-02 15:37:13 | 37 | -61.2312 | 3.5560 | 1.2788 | 0.6247 | 0.6541 | -61.4025
2026-04-02 15:37:24 | 38 | -57.0079 | 3.5428 | 1.2731 | 0.6203 | 0.6528 | -70.2397
2026-04-02 15:37:35 | 39 | -67.9720 | 3.5354 | 1.2719 | 0.6192 | 0.6527 | -66.9626
2026-04-02 15:37:46 | 40 | -64.8711 | 3.5214 | 1.2636 | 0.6107 | 0.6529 | -62.9007
2026-04-02 15:38:56 | Training started | num_expert_samples=5000
2026-04-02 15:38:56 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 15:39:08 | 1 | -92.9931 | 4.0823 | 1.3781 | 0.7111 | 0.6671 | -91.7797
2026-04-02 15:39:19 | 2 | -94.2352 | 4.1014 | 1.3678 | 0.7017 | 0.6661 | -101.2091
2026-04-02 15:39:31 | 3 | -98.1206 | 4.0925 | 1.3585 | 0.6924 | 0.6660 | -90.4447
2026-04-02 15:39:42 | 4 | -92.1272 | 4.1199 | 1.3464 | 0.6833 | 0.6631 | -98.9859
2026-04-02 15:39:53 | 5 | -98.2591 | 4.1213 | 1.3355 | 0.6741 | 0.6614 | -92.7600
2026-04-02 15:40:05 | 6 | -96.6481 | 4.1407 | 1.3214 | 0.6645 | 0.6569 | -96.2991
2026-04-02 15:40:16 | 7 | -93.3274 | 4.1436 | 1.3116 | 0.6548 | 0.6568 | -94.4385
2026-04-02 15:40:27 | 8 | -96.8439 | 4.1041 | 1.2977 | 0.6457 | 0.6520 | -96.3306
2026-04-02 15:40:39 | 9 | -86.9435 | 4.0914 | 1.2871 | 0.6356 | 0.6515 | -90.7269
2026-04-02 15:40:50 | 10 | -92.0835 | 4.0825 | 1.2751 | 0.6252 | 0.6499 | -85.1187
2026-04-02 15:41:01 | 11 | -87.7466 | 4.0822 | 1.2631 | 0.6144 | 0.6487 | -86.2669
2026-04-02 15:41:13 | 12 | -89.8590 | 4.0691 | 1.2513 | 0.6042 | 0.6472 | -85.8468
2026-04-02 15:41:24 | 13 | -81.4268 | 4.0578 | 1.2444 | 0.5942 | 0.6502 | -83.5116
2026-04-02 15:41:35 | 14 | -87.7609 | 4.0444 | 1.2253 | 0.5841 | 0.6412 | -82.2008
2026-04-02 15:41:47 | 15 | -80.5115 | 4.0298 | 1.2154 | 0.5752 | 0.6402 | -84.4689
2026-04-02 15:41:58 | 16 | -81.0542 | 4.0185 | 1.2081 | 0.5656 | 0.6425 | -78.7806
2026-04-02 15:42:09 | 17 | -74.6990 | 4.0106 | 1.1996 | 0.5585 | 0.6410 | -76.5630
2026-04-02 15:42:20 | 18 | -76.7712 | 4.0002 | 1.1917 | 0.5484 | 0.6433 | -72.8861
2026-04-02 15:42:32 | 19 | -67.4604 | 3.9783 | 1.1831 | 0.5447 | 0.6384 | -73.5241
2026-04-02 15:42:43 | 20 | -72.1615 | 3.9739 | 1.1753 | 0.5369 | 0.6384 | -70.2940
2026-04-02 15:42:54 | 21 | -74.0015 | 3.9571 | 1.1683 | 0.5322 | 0.6361 | -70.2069
2026-04-02 15:43:05 | 22 | -67.3901 | 3.9432 | 1.1641 | 0.5293 | 0.6348 | -67.4692
2026-04-02 15:43:17 | 23 | -70.2502 | 3.9237 | 1.1513 | 0.5260 | 0.6253 | -68.8784
2026-04-02 15:43:28 | 24 | -64.6281 | 3.9164 | 1.1476 | 0.5247 | 0.6228 | -61.1573
2026-04-02 15:43:39 | 25 | -69.3000 | 3.8893 | 1.1308 | 0.5264 | 0.6044 | -67.3763
2026-04-02 15:43:50 | 26 | -65.1143 | 3.8787 | 1.1190 | 0.5252 | 0.5938 | -70.6917
2026-04-02 15:44:01 | 27 | -65.5187 | 3.8712 | 1.1447 | 0.5298 | 0.6149 | -61.6294
2026-04-02 15:44:13 | 28 | -60.0957 | 3.8597 | 1.1057 | 0.5288 | 0.5769 | -69.2774
2026-04-02 15:44:24 | 29 | -63.8706 | 3.8465 | 1.1046 | 0.5310 | 0.5736 | -64.1200
2026-04-02 15:44:35 | 30 | -67.6117 | 3.8402 | 1.0904 | 0.5309 | 0.5595 | -64.4777
2026-04-02 15:44:46 | 31 | -69.7558 | 3.8339 | 1.0833 | 0.5272 | 0.5561 | -65.4372
2026-04-02 15:44:57 | 32 | -62.8572 | 3.8300 | 1.0986 | 0.5311 | 0.5675 | -66.3810
2026-04-02 15:45:08 | 33 | -65.7969 | 3.8234 | 1.0874 | 0.5242 | 0.5632 | -61.2168
2026-04-02 15:45:19 | 34 | -62.8722 | 3.8114 | 1.0464 | 0.5115 | 0.5349 | -64.8944
2026-04-02 15:45:30 | 35 | -66.6312 | 3.8082 | 1.0706 | 0.5063 | 0.5643 | -65.4828
2026-04-02 15:45:42 | 36 | -62.8320 | 3.7927 | 1.0680 | 0.4955 | 0.5725 | -61.0340
2026-04-02 15:45:53 | 37 | -60.2748 | 3.7955 | 1.0215 | 0.4806 | 0.5409 | -62.1034
2026-04-02 15:46:04 | 38 | -64.9936 | 3.7838 | 0.9829 | 0.4685 | 0.5143 | -65.6888
2026-04-02 15:46:15 | 39 | -62.6017 | 3.7785 | 1.0469 | 0.4515 | 0.5954 | -63.4468
