train/ent_coef,time/fps,time/time_elapsed,train/critic_loss,train/ent_coef_loss,rollout/success_rate,train/learning_rate,train/n_updates,time/episodes,rollout/ep_rew_mean,train/actor_loss,time/total_timesteps,rollout/ep_len_mean
0.0021863936417503282,328,5150,0.5070175183936954,-1.357737883925438,0.01,0.003,1689520,5680,-14.707702489999999,4.538795739412308,1689632,297.01
0.0020355707238195464,328,5151,1.8891876554116607,2.09147777967155,0.01,0.003,1689936,5684,-14.995816130000001,4.241026222705841,1690048,297.01
0.0020272906840546057,328,5156,1.081318849697709,1.1718765795230865,0.01,0.003,1691424,5688,-14.831201279999998,4.300207078456879,1691536,297.01
0.002753983557340689,328,5160,0.6669557942077518,-1.4115031324326992,0.01,0.003,1692752,5692,-14.494852950000002,4.346285372972488,1692864,297.01
0.0023318085877690464,328,5164,0.7793582687154412,4.6278656125068665,0.01,0.003,1694320,5696,-14.4439037,4.161368876695633,1694432,297.01
0.0020803166553378105,328,5165,1.9377046939916909,-0.9856725987046957,0.01,0.003,1694736,5700,-14.257531889999997,4.538972839713097,1694848,297.01
0.002919137550634332,328,5170,0.8348393049091101,-0.2556423433125019,0.01,0.003,1696224,5704,-14.315674010000002,4.53647355735302,1696336,297.01
0.002444521596771665,328,5174,1.205268109217286,0.10862419847398996,0.01,0.003,1697552,5708,-14.402484160000002,4.869882434606552,1697664,297.01
0.002387964297668077,328,5179,0.839093972928822,-1.3564134575426579,0.01,0.003,1699120,5712,-14.493738460000001,4.531323879957199,1699232,297.01
0.0022609419538639486,328,5180,1.3090966306626797,-2.0997601989656687,0.0,0.003,1699536,5716,-14.864330990000001,4.712824419140816,1699648,300.0
0.0024134956765919924,328,5184,0.5395375452935696,3.136710364371538,0.0,0.003,1701024,5720,-14.669934600000001,4.867224156856537,1701136,300.0
0.0021315565245458856,328,5188,0.8261903710663319,0.385406319051981,0.0,0.003,1702352,5724,-14.859238499999998,4.702848494052887,1702464,300.0
0.0020879440271528438,328,5193,0.3476769719272852,-1.706070650368929,0.0,0.003,1703920,5728,-14.809253840000002,4.854151591658592,1704032,300.0
0.0026752239937195554,328,5194,0.95049880258739,3.7778616175055504,0.0,0.003,1704336,5732,-15.09891947,5.003901869058609,1704448,300.0
0.0030022036808077246,328,5198,1.0986250210553408,3.7009995877742767,0.0,0.003,1705824,5736,-15.22262414,5.18334424495697,1705936,300.0
0.0017022940155584365,328,5202,2.508244963362813,-0.36874955892562866,0.0,0.003,1707152,5740,-15.494985359999998,5.316669762134552,1707264,300.0
0.001512104005087167,328,5207,0.4674674589186907,0.550850436091423,0.0,0.003,1708720,5744,-15.60594594,5.026187092065811,1708832,300.0
0.003398368848138489,328,5208,0.508608884178102,2.4809487648308277,0.0,0.003,1709136,5748,-15.73025815,4.858910083770752,1709248,300.0
0.002576117854914628,328,5212,2.0867180675268173,-4.370039135217667,0.0,0.003,1710624,5752,-15.83734428,5.148141264915466,1710736,300.0
0.002037901140283793,328,5216,0.7441747020930052,-0.10030255932360888,0.0,0.003,1711952,5756,-15.953873349999999,4.794141173362732,1712064,300.0
0.00194753357936861,328,5221,1.1131906295195222,1.5526056364178658,0.0,0.003,1713520,5760,-16.37503177,4.527937427163124,1713632,300.0
0.002176020745537244,328,5222,0.47072578966617584,-0.5832566451281309,0.0,0.003,1713936,5764,-16.524128600000004,4.934943348169327,1714048,300.0
0.0028030614921590313,328,5226,1.1490053441375494,-3.508236400783062,0.0,0.003,1715424,5768,-16.860165589999998,4.645774722099304,1715536,300.0
0.0024764273402979597,328,5230,1.644691756926477,-4.055744871497154,0.0,0.003,1716752,5772,-16.972834670000005,5.264236211776733,1716864,300.0
0.0015858229962759651,328,5235,1.4378323312848806,3.189119227230549,0.0,0.003,1718320,5776,-16.98297851,5.042733669281006,1718432,300.0
0.00256428201100789,328,5236,2.8025543428957462,0.23231851309537888,0.0,0.003,1718736,5780,-16.95986144,5.192636013031006,1718848,300.0
0.002519196175853722,328,5240,0.9417609199881554,2.3284481428563595,0.0,0.003,1720224,5784,-16.82070148,5.021405190229416,1720336,300.0
0.002308798735612072,328,5244,0.518940469250083,3.1168843507766724,0.0,0.003,1721552,5788,-16.94510764,4.907008022069931,1721664,300.0
0.0033621223992668092,328,5249,1.6952113173902035,-0.23461057897657156,0.0,0.003,1723120,5792,-17.463295960000004,5.203321725130081,1723232,300.0
0.0018924624382634647,328,5250,0.6127576073631644,1.3635086305439472,0.0,0.003,1723536,5796,-17.77028084,5.039981931447983,1723648,300.0
0.001668494733166881,328,5254,0.8277907390147448,1.4738758187741041,0.0,0.003,1725024,5800,-17.78053182,5.008999407291412,1725136,300.0
0.002731801723712124,328,5258,2.313267200253904,-2.4168724790215492,0.0,0.003,1726352,5804,-17.784712380000002,4.671800315380096,1726464,300.0
0.001962591864867136,328,5263,1.2308245841413736,-2.215319074690342,0.0,0.003,1727920,5808,-17.93473792,5.075173005461693,1728032,300.0
0.002756294095888734,328,5264,0.6773327412083745,-0.1193257924169302,0.0,0.003,1728336,5812,-17.80628232,4.975779503583908,1728448,300.0
0.0024429772893199697,328,5268,0.8062289264053106,0.4332761727273464,0.0,0.003,1729824,5816,-17.738595840000002,5.085624545812607,1729936,300.0
0.001713772042421624,328,5272,2.297650983557105,-1.1515836492180824,0.0,0.003,1731152,5820,-17.765892490000002,5.3125224113464355,1731264,300.0
0.0027074798272224143,328,5277,1.1375019741244614,0.4804831314831972,0.0,0.003,1732720,5824,-17.74739226,4.941907346248627,1732832,300.0
0.0024746654817136005,328,5278,0.7645236309617758,1.8815596364438534,0.0,0.003,1733136,5828,-17.746236690000003,4.872638553380966,1733248,300.0
0.002452492932206951,328,5282,0.8106024097651243,3.6324991025030613,0.0,0.003,1734624,5832,-17.48940098,5.03207366168499,1734736,300.0
0.0025447293737670407,328,5286,1.2616176437586546,-1.4526143129915,0.0,0.003,1735952,5836,-17.30289128,5.252685412764549,1736064,300.0
0.0028622702229768038,328,5291,0.7636055322363973,-0.5631081387400627,0.0,0.003,1737520,5840,-17.47877003,4.871711075305939,1737632,300.0
0.001420975117071066,328,5292,0.9762196373194456,-1.528699254617095,0.0,0.003,1737936,5844,-17.35857877,4.678845405578613,1738048,300.0
0.0035931324237026274,328,5297,0.5121690118685365,11.936745345592499,0.0,0.003,1739424,5848,-17.21588293,5.011684685945511,1739536,300.0
0.0018879942945204675,328,5300,0.6668245429173112,0.889940133318305,0.0,0.003,1740752,5852,-17.33079075,5.179858773946762,1740864,300.0
0.00242580464691855,328,5305,0.6663235463202,2.794491682201624,0.0,0.003,1742320,5856,-17.35500649,5.157143756747246,1742432,300.0
0.0015010575734777376,328,5306,0.7738851234316826,-3.970949664711952,0.0,0.003,1742736,5860,-16.995250199999997,4.915497899055481,1742848,300.0
0.002691685876925476,328,5311,0.7199609316885471,2.6758105028420687,0.0,0.003,1744224,5864,-17.016858779999996,4.935069262981415,1744336,300.0
0.0024702599621377885,328,5314,1.4686681479215622,-2.600342631340027,0.0,0.003,1745552,5868,-16.777854849999997,5.060647577047348,1745664,300.0
0.0033334535255562514,328,5319,0.5861599128693342,-2.821677513420582,0.0,0.003,1747120,5872,-16.743441590000003,5.1697136759758,1747232,300.0
0.002023243680014275,328,5320,1.5270029343664646,0.281355369836092,0.0,0.003,1747536,5876,-16.729572240000003,4.884381890296936,1747648,300.0
0.0019901521736755967,328,5325,0.6943231672048569,0.7883026357740164,0.0,0.003,1749024,5880,-16.768741,5.069016560912132,1749136,300.0
0.0019636864672065713,328,5328,0.8726306250318885,-1.0761496387422085,0.0,0.003,1750352,5884,-16.90981818,5.266599804162979,1750464,300.0
0.002743160745012574,328,5333,0.8109568897634745,1.8775593601167202,0.0,0.003,1751920,5888,-16.987074760000002,5.395207419991493,1752032,300.0
0.0015443508164025843,328,5334,0.6566784083843231,-2.236817240715027,0.0,0.003,1752336,5892,-16.74696634,5.323717087507248,1752448,300.0
0.002542612943216227,328,5339,2.1554756686091423,-2.6015269346535206,0.0,0.003,1753824,5896,-16.66911185,5.576053723692894,1753936,300.0
0.0020819304045289755,328,5343,0.5771917123347521,-4.658924795687199,0.0,0.003,1755152,5900,-16.8209804,5.051287770271301,1755264,300.0
0.00250821202644147,328,5347,1.2429874166846275,-2.9944953620433807,0.0,0.003,1756720,5904,-16.83332589,5.370640218257904,1756832,300.0
0.0022018290183041245,328,5348,0.8165333680808544,-1.1606751419603825,0.0,0.003,1757136,5908,-16.745771250000004,5.381752669811249,1757248,300.0
0.001799838493752759,328,5353,1.897259535267949,-0.034859705716371536,0.0,0.003,1758624,5912,-16.92015954,5.800709068775177,1758736,300.0
0.0028603504033526406,328,5357,0.6063108770176768,-1.9990683607757092,0.0,0.003,1759952,5916,-16.757382379999996,5.17545959353447,1760064,300.0
0.003040836425498128,328,5361,0.7225934937596321,-0.2984902672469616,0.0,0.003,1761520,5920,-16.76449053,5.56302085518837,1761632,300.0
