train/ent_coef_loss,rollout/success_rate,train/actor_loss,train/ent_coef,train/critic_loss,train/learning_rate,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/n_updates,time/total_timesteps
-1.305477088317275,0.0,-0.2782208500429988,0.0005055018482380547,0.0012883039671578445,0.0003,632,-2.42337367,555,343,300.0,190816,190928
1.1198157295584679,0.0,-0.2054590256884694,0.0004959629368386231,0.0014773727307328954,0.0003,636,-2.3887805999999996,558,343,300.0,191888,192000
,0.0,,,,,640,-2.3887805999999996,558,343,300.0,,192000
0.38140037283301353,0.0,-0.2193555235862732,0.0004970658192178234,0.0016723580192774534,0.0003,644,-2.4069597600000003,558,343,300.0,191904,192016
-0.6929536880925298,0.0,-0.07192109402967617,0.0004419627948664129,0.0010809937630256172,0.0003,648,-2.4281907400000002,569,343,300.0,195616,195728
-0.6177413389086723,0.0,-0.03224069671705365,0.0004246343451086432,0.0013743408635491505,0.0003,652,-2.4591211599999996,572,343,300.0,196688,196800
,0.0,,,,,656,-2.4591211599999996,572,343,300.0,,196800
-0.0570746585726738,0.0,-0.02355476954835467,0.000424221712819417,0.0012291194470890332,0.0003,660,-2.43814252,572,343,300.0,196704,196816
1.478751040995121,0.0,0.13069668086245656,0.00037499628524528816,0.0009443295602977742,0.0003,664,-2.4395423099999998,583,343,300.0,200416,200528
0.2944200150668621,0.0,0.15038413368165493,0.000362714705261169,0.0008983310435723979,0.0003,668,-2.37101315,586,343,300.0,201488,201600
,0.0,,,,,672,-2.37101315,586,343,300.0,,201600
1.34220602363348,0.0,0.15600351616740227,0.0003629156544775469,0.0009934173394867685,0.0003,676,-2.37892638,586,343,300.0,201504,201616
0.3247887082397938,0.0,0.24756681080907583,0.00032716419809730724,0.0008356882899533957,0.0003,680,-2.34931007,596,343,300.0,205216,205328
-0.40470706298947334,0.0,0.3043899443000555,0.0003275126473454293,0.0007903540317784064,0.0003,684,-2.2863582499999997,600,343,300.0,206288,206400
,0.0,,,,,688,-2.2863582499999997,600,343,300.0,,206400
-0.42111220210790634,0.0,0.2810286208987236,0.0003270691304351203,0.0007380462448054459,0.0003,692,-2.15575309,600,343,300.0,206304,206416
-0.052805254235863686,0.0,0.38646115735173225,0.00029933906444057357,0.0005616013095277594,0.0003,696,-2.16527497,611,343,300.0,210016,210128
1.2020034082233906,0.0,0.4048487078398466,0.0003049551523872651,0.0006408830195141491,0.0003,700,-2.17987354,614,343,300.0,211088,211200
,0.0,,,,,704,-2.17987354,614,343,300.0,,211200
-0.6392719354480505,0.0,0.4191790632903576,0.0003058797592530027,0.0006487315695267171,0.0003,708,-2.1849717100000006,614,343,300.0,211104,211216
-0.09617005474865437,0.0,0.4812538381665945,0.0002916801931860391,0.0005937727528362302,0.0003,712,-2.18430184,625,343,300.0,214816,214928
-0.40285994578152895,0.0,0.49489067681133747,0.0002891264648496872,0.0005814694086438976,0.0003,716,-2.0316761899999998,628,343,300.0,215888,216000
,0.0,,,,,720,-2.0316761899999998,628,343,300.0,,216000
-0.09134422894567251,0.0,0.4954191781580448,0.00028880023273814004,0.0004988534874428296,0.0003,724,-2.0068083099999994,628,343,300.0,215904,216016
0.6242216899991035,0.0,0.5267757195979357,0.000282249851807137,0.0005209073897276539,0.0003,728,-2.0012940599999998,638,343,300.0,219616,219728
0.6510933339595795,0.0,0.5425939653068781,0.0002629168266139459,0.0004168980976828607,0.0003,732,-1.99948495,641,343,300.0,220688,220800
,0.0,,,,,736,-1.99948495,641,343,300.0,,220800
1.2326983269304037,0.0,0.5401271618902683,0.00026331816843594424,0.0004419777924340451,0.0003,740,-1.9983451000000003,641,343,300.0,220704,220816
-0.4213943090289831,0.0,0.5980925001204014,0.00023819261696189642,0.0004945911405229708,0.0003,744,-1.9762477800000002,652,344,300.0,224416,224528
-0.5900825150310993,0.0,0.5995100848376751,0.00023167032031778945,0.0003811488968494814,0.0003,748,-1.9436675699999997,655,344,300.0,225488,225600
,0.0,,,,,752,-1.9436675699999997,655,344,300.0,,225600
0.31188664212822914,0.0,0.586899995803833,0.00023157910254667513,0.0003819755947915837,0.0003,756,-1.9245008799999999,655,344,300.0,225504,225616
-1.3550987765192986,0.0,0.6352861747145653,0.00022654025997326244,0.0004343089021858759,0.0003,760,-1.91618484,666,344,300.0,229216,229328
1.0647656507790089,0.0,0.6466859094798565,0.00022235762025957229,0.0003819641551672248,0.0003,764,-1.8922281099999998,669,344,300.0,230288,230400
,0.0,,,,,768,-1.8922281099999998,669,344,300.0,,230400
