time/total_timesteps,rollout/success_rate,rollout/ep_len_mean,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef,train/actor_loss,train/ent_coef_loss
118400,0.01,198.01,584,949,-33.94695164,124,,,,,,
118400,0.01,198.01,588,949,-33.94695164,124,,,,,,
118400,0.01,198.01,592,949,-33.94695164,124,,,,,,
121600,0.01,198.01,596,949,-32.93605023,128,6974,0.001,0.0004274147213436663,0.0013796748826280236,-2.0384767055511475,-26.081863403320312
121600,0.01,198.01,600,949,-32.93605023,128,,,,,,
121600,0.01,198.01,604,949,-32.93605023,128,,,,,,
121600,0.01,198.01,608,949,-32.93605023,128,,,,,,
124800,0.01,198.01,612,947,-32.30870196,131,7174,0.001,0.001536005875095725,0.0011834405595436692,-1.871399164199829,-20.347919464111328
124800,0.01,198.01,616,947,-32.30870196,131,,,,,,
124800,0.01,198.01,620,947,-32.30870196,131,,,,,,
124800,0.01,198.01,624,947,-32.30870196,131,,,,,,
125616,0.02,196.52,628,947,-31.916119780000002,132,7225,0.001,0.0004271894576959312,0.0011404264951124787,-1.8222616910934448,-23.55318260192871
128000,0.02,196.52,632,945,-31.312406079999995,135,7374,0.001,0.0003463888424448669,0.0010229743784293532,-1.7630078792572021,-18.951990127563477
128000,0.02,196.52,636,945,-31.312406079999995,135,,,,,,
128000,0.02,196.52,640,945,-31.312406079999995,135,,,,,,
128816,0.02,196.52,644,944,-31.26887191999999,136,7425,0.001,0.0020962851122021675,0.0009878255659714341,-1.6809945106506348,-19.094867706298828
131200,0.02,196.52,648,943,-30.39543235,139,7574,0.001,0.00023065379355102777,0.0008896894287317991,-1.6516395807266235,-20.031452178955078
131200,0.02,196.52,652,943,-30.39543235,139,,,,,,
131200,0.02,196.52,656,943,-30.39543235,139,,,,,,
132016,0.02,196.52,660,942,-30.300656869999994,140,7625,0.001,0.0007253055227920413,0.0008597762789577246,-1.6210684776306152,-16.48042106628418
134400,0.02,196.52,664,940,-30.06744505,142,7774,0.001,0.00030823505949229,0.0007800059975124896,-1.5191318988800049,-18.69536781311035
134400,0.02,196.52,668,940,-30.06744505,142,,,,,,
134400,0.02,196.52,672,940,-30.06744505,142,,,,,,
135216,0.02,196.52,676,940,-30.07413565,143,7825,0.001,0.0005413751350715756,0.0007546013221144676,-1.5106481313705444,-16.389726638793945
137600,0.03,195.42,680,938,-31.83131351,146,7974,0.001,0.0003111190744675696,0.0006882491870783269,-1.4116926193237305,-15.248162269592285
137600,0.03,195.42,684,938,-31.83131351,146,,,,,,
137600,0.03,195.42,688,938,-31.83131351,146,,,,,,
137616,0.04,193.43,692,938,-31.35526284,146,7975,0.001,0.0005696879816241562,0.0006878128042444587,-1.4529646635055542,-16.93880844116211
140800,0.03,195.42,696,937,-32.13692788,150,8174,0.001,0.0002636594872456044,0.0006128362729214132,-1.3723843097686768,-14.514240264892578
140800,0.03,195.42,700,937,-32.13692788,150,,,,,,
140800,0.03,195.42,704,937,-32.13692788,150,,,,,,
140816,0.03,195.42,708,937,-32.136801240000004,150,8175,0.001,0.0002495541702955961,0.000612502102740109,-1.343946933746338,-15.743906021118164
144000,0.03,195.42,712,936,-31.637026630000005,153,8374,0.001,0.0012157238088548183,0.0005504788132384419,-1.2796258926391602,-10.652345657348633
144000,0.03,195.42,716,936,-31.637026630000005,153,,,,,,
144000,0.03,195.42,720,936,-31.637026630000005,153,,,,,,
144016,0.03,195.42,724,936,-31.364733960000002,153,8375,0.001,0.000552403274923563,0.0005501962150447071,-1.2224478721618652,-11.839017868041992
147200,0.02,196.91,728,934,-30.307229630000002,157,8574,0.001,0.0002678915043361485,0.0004984260303899646,-1.1605653762817383,-10.19233226776123
147200,0.02,196.91,732,934,-30.307229630000002,157,,,,,,
147200,0.02,196.91,736,934,-30.307229630000002,157,,,,,,
147216,0.02,196.91,740,934,-30.712435490000004,157,8575,0.001,0.003875342197716236,0.0004981779493391514,-1.1981770992279053,-8.261285781860352
150400,0.02,196.91,744,933,-28.77230499,161,8774,0.001,0.00035741488682106137,0.00045519720879383385,-1.0662338733673096,-10.933822631835938
150400,0.02,196.91,748,933,-28.77230499,161,,,,,,
150400,0.02,196.91,752,933,-28.77230499,161,,,,,,
150416,0.02,196.91,756,933,-29.076950629999995,161,8775,0.001,0.0005732505233027041,0.00045499211410060525,-1.1068944931030273,-11.095897674560547
153600,0.02,196.91,760,932,-29.150579710000006,164,8974,0.001,0.0002460742252878845,0.000419141782913357,-1.0424206256866455,-7.9889678955078125
